floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
1,9,2,48.2,6050000,Матушкино,Зеленоград,к433,Зеленоград — Крюково,294458255
4,5,2,60.0,45000000,Тверской,3-я Тверская-Ямская ,42/8,Маяковская,316217397
7,17,2,73.0,84000000,Пресненский, Сергея Макеева,9к2,Улица 1905 года,315643056
7,12,2,46.3,8500000,Савёлки,Зеленоград,к339Б,Зеленоград — Крюково,316518851
53,68,2,86.0,87000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,309676182
5,13,2,107.0,229900000,Хамовники,Погодинская ,2,Фрунзенская,313296107
51,79,2,59.0,55000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,297997441
1,7,2,27.0,5999999,Южнопортовый,6-я Кожуховская ,24,Кожуховская,315508700
30,68,2,84.0,140000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,313484220
1,19,2,100.0,46900000,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,312095964
12,19,2,84.0,59000000,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,315965458
7,9,2,44.1,9100000,Восточный, Главная,23,Щёлковская,313432591
6,13,2,52.0,35800000,Аэропорт,Ленинградский проспект,36с36,Динамо,309979871
11,12,2,50.6,10599999,Капотня,4-й кв-л,6,Люблино,305510471
30,85,2,95.4,79990000,Пресненский,1-й Красногвардейский проезд,21с1,Москва-Сити,307723604
8,12,2,93.4,59000000,Мещанский,Протопоповский переулок,17С2,Проспект Мира,315973415
8,9,2,46.1,10800000,Ивановское,шоссе Энтузиастов,98К4,Новогиреево,315436841
8,9,2,57.3,22750000,Гагаринский,Ленинский проспект,64/2,Университет,302380406
9,14,2,67.0,57000000,Раменки,проспект Генерала Дорохова,39к1Б,Поклонная,311033212
19,34,2,102.6,150000000,Дорогомилово,Поклонная ,9,Поклонная,310470593
6,14,2,56.0,22200000,Академический, Губкина,9,Академическая,315432066
2,10,2,69.4,69900000,Тверской, Палиха,4,Менделеевская,302081797
17,17,2,53.6,13500000,Ясенево,Вильнюсская ,15,Ясенево,315929506
29,30,2,60.0,31500000,Южнопортовый,Волгоградский проспект,32/3к2,Угрешская,312719449
7,9,2,47.0,18500000,Обручевский, Гарибальди,20/29К2,Новые Черёмушки,315419765
11,33,2,85.4,44000000,Щукино,Авиационная ,77к2,Щукинская,312780568
3,6,2,49.5,52500000,Хамовники,Зубовская ,7,Парк Культуры,313775061
48,64,2,104.0,98100000,Пресненский,набережная Пресненская,8с1,Деловой центр,313397823
7,8,2,75.0,113700000,Якиманка,Софийская набережная,34С5,Новокузнецкая,314266557
4,9,2,39.0,15690000,Войковский,Ленинградское шоссе,22,Балтийская,315559988
14,41,2,55.8,34000000,Раменки,1-й Сетуньский проезд,8,Кутузовская,312298271
2,5,2,105.0,155000000,Тверской,Никольская ,10/2С2б,Лубянка,311186834
5,12,2,38.5,14000000,Савеловский,Башиловская ,3К1,Савёловская,316599762
2,5,2,106.0,155000000,Тверской,Никольская ,10,Площадь Революции,313833366
